# Test data for ascii data initial conditions.
# Only next line is parsed in format: [nlongitude] [ncolatitude] because of keyword "POINTS:"
# POINTS: 201 241
# Columns: longitude colatitude litho crust
0.562869 1.22609 77374.9	38700 25794 12897 2930.7800293 2790.27001953 2689.89990234
0.567232 1.22609 77945	37680 25111 12552 2921.72998047 2781.63989258 2681.58007812
0.571595 1.22609 78056.4	38891 25928 12973 2944.93994141 2803.73999023 2702.88989258
0.575959 1.22609 78252.4	40102 26745 13395 2968.14990234 2825.84008789 2724.18994141
0.580322 1.22609 78558.9	41312 27562 13816 2991.36010742 2847.93994141 2745.5
0.584685 1.22609 78887.1	42506 28360 14215 3014.77001953 2870.22998047 2766.97998047
0.589049 1.22609 78941.3	43700 29157 14614 3038.17993164 2892.51000977 2788.45996094
0.593412 1.22609 78939.2	43098 28742 14387 3042.89990234 2897 2792.79003906
0.597775 1.22609 78897.5	42595 28395 14196 3048.64990234 2902.47998047 2798.08007812
0.602139 1.22609 78773.8	42088 28045 14003 3053.97998047 2907.56005859 2802.9699707
0.606502 1.22609 78348.5	41470 27620 13774 3048.07006836 2901.92993164 2797.54003906
0.610865 1.22609 77812.1	40853 27196 13545 3042.15991211 2896.30004883 2792.12011719
0.615229 1.22609 77158.3	38649 25710 12776 3013.09008789 2868.62988281 2765.43994141
0.619592 1.22609 76227.8	36452 24228 12009 2984.12011719 2841.04003906 2738.85009766
0.623955 1.22609 74171.2	34289 22769 11254 2955.80004883 2814.08007812 2712.86010742
0.628319 1.22609 71751.6	33311 22100 10894 2949.9699707 2808.54003906 2707.51000977
0.632682 1.22609 69068.9	32332.9980469 21431 10535 2944.13989258 2802.98999023 2702.15991211
0.637045 1.22609 66234.3	28722.9980469 18949 9459 2969.06005859 2818.25 2709.68994141
0.641409 1.22609 64088	25037 16413 8362.00097656 2994.87988281 2834.12011719 2717.61010742
0.645772 1.22609 61801.7	21346 13875.9990234 7265 3020.85009766 2850.13989258 2725.65991211
0.650135 1.22609 59350.7	18749 11747.9980469 6245 3004.89990234 2826.60009766 2695.88989258
0.654498 1.22609 57148.5	16153 9619.00097656 5225.00048828 2988.94995117 2803.07006836 2666.12988281
0.658862 1.22609 57393.5	16489.0019531 9961 5596.00048828 2959.39990234 2775.05004883 2639.19995117
0.663225 1.22609 58023.3	16937.9980469 10396 6021 2929.33007812 2746.85009766 2612.38989258
0.667588 1.22609 58700.3	17518.9980469 10896.9990234 6465 2897.13989258 2716.65991211 2583.67993164
0.671952 1.22609 59153.2	15717 10222.9990234 6549 2903.25 2722.38989258 2589.12988281
0.676315 1.22609 57787.9	13915 9549 6632 2909.36010742 2728.12988281 2594.58007812
0.680678 1.22609 56220.4	13823.9990234 9660 6670 2905.47998047 2728.06005859 2594.52001953
0.685042 1.22609 54716.8	13741.0009766 9775 6707 2901.54003906 2727.9699707 2594.42993164
0.689405 1.22609 53444.8	13658.0019531 9888.99902344 6743.99951172 2897.61010742 2727.87988281 2594.35009766
0.693768 1.22609 53324.6	16533.0019531 11887 7627.99951172 2932.73999023 2764.7199707 2629.38989258
0.698132 1.22609 53408	19840.9980469 14146 8618.00097656 2971.57006836 2804.69995117 2667.87988281
0.702495 1.22609 53559.6	26304.9980469 18186 10212.0009766 3019.33007812 2847.32006836 2716.43994141
0.706858 1.22609 53915.1	32770 22227 11806 3067.09008789 2889.93994141 2764.98999023
0.711222 1.22609 55374.8	39235 26267 13401 3114.86010742 2932.56005859 2813.55004883
0.715585 1.22609 57085.8	43019 28604 14240 3114.88989258 2930.12988281 2819.25
